gt_answer,pred,question,balanced,perfect_match,correct
no,yes,Are there keyboards to the left of the animal that is reaching for the desk?,False,0,False
no,,Are there any napkins or crates?,False,0,False
no,yes,Are there any mugs or bottles that are made of glass?,False,0,False
red,,Is the door red or white?,False,0,False
left,left,Is the frisbee to the right or to the left of the man in the image?,False,1,True
no,yes,Is the shelf on the right side?,False,0,False
no,yes,Is the SUV to the left of the truck?,False,0,False
no,,Is it an indoors scene?,False,0,False
yes,yes,Does the metal fan look giant?,False,1,True
no,yes,Are there any ropes to the right of the boat?,False,0,False
no,yes,Are there both a chair and a bottle in the scene?,False,0,False
no,yes,Do you see any helmet?,False,0,False
no,,Is there any food to the left of the vegetable in the salad?,False,0,False
no,,Are there either any couches or tables that are not brown?,False,0,False
no,yes,Is the woman in the top part?,True,0,False
no,yes,Are there boys?,False,0,False
white,white,Is the lamp shade white or black?,False,1,True
no,yes,Are the flowers large?,False,0,False
large,small,"What size is the crate to the left of the apple, large or small?",False,0,False
yes,yes,Is the freezer on the left?,False,1,True
no,yes,Is there a silver table in the scene?,False,0,False
no,,Do you see chairs there?,False,0,False
yes,,Is this a young boy?,False,0,False
no,,Is the coffee pot to the right of a cup?,False,0,False
no,,Is this a brown cat?,False,0,False
no,yes,Is there a fence in the image?,False,0,False
yes,yes,Is there a train in the photo?,False,1,True
yes,yes,Is the white refrigerator to the right of a shelf?,False,1,True
no,yes,Is the picture in the bottom part?,False,0,False
no,,Is there a fence that is not made out of metal?,False,0,False
no,yes,Are there any blankets?,False,0,False
yes,yes,Are there chairs or doors that are made of wood?,False,1,True
yes,yes,Does this laptop look open?,False,1,True
no,yes,Is there a pot in this photo?,False,0,False
no,yes,Are there fences to the right of the green vehicle?,False,0,False
right,,Which side of the image is the lamp on?,False,0,False
no,yes,Is the screen on the right side of the image?,False,0,False
man,,Who wears the shorts?,False,0,False
chair,table,What is the dark piece of furniture?,True,0,False
yes,,Is the person that is to the left of the camera wearing a shirt?,False,0,False
no,yes,Are there any kites or chimneys in the image?,False,0,False
no,yes,Do you see either any forks or books?,False,0,False
radiator,,What is the appliance to the left of the chair?,False,0,False
left,right,Is the lamp on the right or on the left side?,False,0,False
no,,Does the sky look cloudy?,False,0,False
black,blue,What color do the trousers have?,False,0,False
yes,,Are there any books or desks in this image?,False,0,False
no,yes,Is there a truck to the left of the red bus?,False,0,False
no,yes,Are there either any lamps or paintings in the image?,True,0,False
yes,yes,Are the trousers gray?,False,1,True
yes,yes,Are there any windows that are large in this picture?,False,1,True
no,yes,Are there any motorcycles or cars in the picture?,False,0,False
no,,Is the car in the top part of the image?,False,0,False
no,yes,Are there fences in the picture?,False,0,False
yes,yes,Is the cabinet the same color as the sink?,False,1,True
shelf,counter,The coffee pot is on what?,True,0,False
yes,,Is any grass observable in the picture?,False,0,False
no,,Do you see pillows to the right of the striped blanket?,False,0,False
no,yes,Are there guys to the left of the plate in the top?,False,0,False
no,fence,Is there a cow or a fence in the photo?,False,0,False
no,yes,Are there any fences to the right of the man on the left?,False,0,False
no,yes,Are there men to the left of the woman?,False,0,False
yes,yes,Does the cabin to the left of the flag have brown color?,False,1,True
no,,Are there cars or fences in the scene?,False,0,False
no,,Are there either any cars or airplanes?,False,0,False
yes,yes,Does the vehicle that looks orange look metallic?,False,1,True
no,yes,Are there cowboys?,False,0,False
no,yes,Do you see any traffic lights there?,False,0,False
yes,yes,Are the plastic toys on the roof?,False,1,True
no,,Is the bottle to the left of wine?,False,0,False
red,blue,Is the motorbike to the left of the man blue or red?,False,0,False
no,yes,Do you think the sky is white?,False,0,False
no,yes,Are there any trucks?,False,0,False
yes,yes,Is the yellow cheese inside the sandwich that is wrapped in a bag?,False,1,True
no,yes,Are there fences or parachutes in the image?,False,0,False
no,yes,Are there statues or lamps in the image?,False,0,False
yes,yes,Are there any cell phones to the right of the computer?,False,1,True
no,yes,Is the laptop on the right of the picture?,False,0,False
no,yes,Is there a fence in the picture?,False,0,False
left,backpack right side photo,Which side of the photo is the backpack on?,False,0,False
no,,Are there any bags or cars?,False,0,False
no,yes,Are there either napkins or cake slices in the picture?,False,0,False
no,yes,Do you see any fences?,False,0,False
yes,yes,Are there any mats on the table?,False,1,True
cat,,What is the pretty animal called?,False,0,False
no,yes,Are there either any crates or dish soaps in this photograph?,True,0,False
no,,Are there either brown cabinets or nightstands?,False,0,False
yes,yes,Are there empty boats in this image?,False,1,True
no,yes,Do you see any cookbooks in this image?,False,0,False
yes,playing tennis,Are there any spectators behind the male person?,False,0,False
yes,,Is there any wine that is not black?,False,0,False
left,right,"On which side is the man, the left or the right?",False,0,False
no,,Are there fences in the picture?,False,0,False
top,,"Which part of the photo is the baseball in, the bottom or the top?",False,0,False
yes,yes,Does the pepperoni pizza look beautiful and large?,False,1,True
table,table,What is the name of the item of furniture that the chair is in front of?,False,1,True
bags,luggage,What is the luggage cart inside the airport carrying?,False,0,False
yes,yes,Do you see any pillow in this picture that is red?,False,1,True
yes,yes,Is the tower high?,False,1,True
yes,yes,Are there words that are black?,False,1,True
no,yes,Are there either black skateboards or bicycles?,False,0,False
black,blond,Is the man's hair blond or black?,False,0,False
yes,,Does the kettle on top of the oven look white?,False,0,False
truck,dumpster,What is the white vehicle in the scene?,False,0,False
yes,,Are there any windows?,False,0,False
shirt,紅色衫,What is the red clothing item in the picture?,True,0,False
no,yes,Is the person using a television?,False,0,False
no,yes,Is that sweater green?,False,0,False
taxi,,"Which type of vehicle is not old, the truck or the truck taxi?",True,0,False
yes,yes,Is the beard thick?,False,1,True
no,yes,Does the clear sky look white?,False,0,False
yes,yes,Are there either any hammers or bridges in the picture?,False,1,True
table,oven,What is the item of furniture that is to the left of the oven the pizza is going into?,False,0,False
no,,Are there either any trash cans or traffic lights in this photo?,False,0,False
couch,,What is in front of the picture frame on the wall?,False,0,False
no,yes,Is there a bus in this picture that is red?,False,0,False
yes,yes,Are there women in the photo?,False,1,True
no,yes,Are there any chairs in the scene?,False,0,False
yes,yes,Are there any men to the left of the backpack?,False,1,True
no,yes,Are there both donuts and candies in the picture?,False,0,False
no,yes,Does the keyboard to the left of the computer mouse look black?,False,0,False
no,yes,Is there a fence in the image?,False,0,False
no,,Is the bird to the left of an elephant?,False,0,False
no,,Are there any coaches in this scene?,False,0,False
no,yes,Is the fridge to the right of the pot?,False,0,False
yes,yes,Is the drawer on the left of the picture?,False,1,True
left,left,Is the gray car to the left or to the right of the person that is to the left of the man?,False,1,True
no,,Are there people to the left of the girl that wears a jacket?,False,0,False
no,,Do you see shampoos or bowls?,False,0,False
white,blue,Which color is the shore?,False,0,False
left,right,On which side of the image is the chef?,True,0,False
right,right,On which side is the napkin?,False,1,True
truck,firetruck,What vehicle is it?,False,0,True
no,yes,Is the umbrella blue and small?,False,0,False
yes,yes,Are there yellow buses or trains?,False,1,True
yes,yes,Is the jar to the left of the bowl in the top of the picture?,False,1,True
yes,yes,Is the man to the right of the people that are skiing?,False,1,True
yes,,Are there any batters on the home plate?,False,0,False
yes,yes,Is there a fence in the scene that is not silver?,False,1,True
yes,yes,Do you see any horse there?,False,1,True
yes,wooden,Do you see shelves or chairs that are wooden?,False,0,False
yes,yes,Do you see cars behind the girl in the parking lot?,True,1,True
no,yes,Is the boy old?,False,0,False
no,yes,Are the potatoes on a plate?,False,0,False
bottom,bottom,Is the bag in the bottom or in the top part of the photo?,False,1,True
no,yes,Do you see any goggles that are blue?,False,0,False
no,yes,Do you see a fence to the right of the cars?,False,0,False
traffic light,,What is that deer in front of?,True,0,False
no,yes,Are there any pictures?,False,0,False
no,yes,Are there fences in this image?,False,0,False
shape,made brass,What do both the dome of the clock tower and the door have in common?,True,0,False
man,surfer,Who is wearing a wetsuit?,False,0,False
yes,yes,Is there a plate in this image that is not brown?,False,1,True
no,,Are there any trumpets?,True,0,False
no,,Are there either any fences or crates in the photo?,False,0,False
yes,yes,Does the bear to the left of the broom look light?,False,1,True
white,black,Which color is the zebra to the left of the other zebra?,False,0,False
broccoli,brown rice,Which kind of vegetable is to the left of the fork?,False,0,False
cabinet,,What is the name of the piece of furniture below the counter?,False,0,False
no,yes,Do you see any forks or spoons that are not small?,False,0,False
white,blue,Which color is the toilet?,False,0,False
yes,yes,Is the grass tall?,True,1,True
yes,,Is the table cloth to the left of a dryer?,False,0,False
bear,,What animal is wearing a dress?,False,0,False
no,yes,Is the lamp on the left side?,False,0,False
no,yes,Is the plane large and colorful?,True,0,False
no,,Do you see helmets to the right of the ski the girl is holding?,False,0,False
dark,brown,That dog has which color?,False,0,False
boat,boat,What is the watercraft that is to the left of the white ship?,False,1,True
yes,,Is the worker wearing a belt?,False,0,False
no,yes,Is the rug in the top part of the image?,False,0,False
no,glasses,Are there glasses or boys?,False,0,False
yes,,Is there a woman in front of the door?,False,0,False
yes,,Is the street gray?,False,0,False
yes,yes,Are there any motorcycles or statues?,True,1,True
yes,yes,Is the shirt black?,False,1,True
yes,,Are there any gloves or helmets?,False,0,False
no,yes,Are the table and the lamp made of the same material?,False,0,False
no,yes,Is there a motorcycle to the right of the men behind the trees?,False,0,False
yes,yes,Do you see any horses in front of the hills?,False,1,True
white,flowers,Of what color is the scooter?,False,0,False
right,right,Is the shelf on the right side or on the left?,False,1,True
no,yes,Is the grass both short and brown?,False,0,False
boy,pancakes,The eggs are in front of who?,True,0,False
left,right,Is the soda on the left or on the right of the photo?,False,0,False
no,,Does the helmet look closed?,False,0,False
left,right,Is the boy to the right or to the left of the house?,False,0,False
sausage,,Which type of food is to the right of the buns?,False,0,False
yes,yes,Is there a couch in this scene?,False,1,True
standing,standing,Is the woman to the right of the girl standing or pointing?,False,1,True
left,,Is the pepper on the left side or on the right of the photo?,False,0,False
hat,hat,What kind of clothing is not blue?,False,1,True
no,yes,Is there any fence near the sidewalk made of cement?,False,0,False
red,,What is the color of the jersey?,False,0,False
yes,yes,Is the military airplane on the ground gray and large?,False,1,True
yes,yes,Do the ambulance and the building have a different colors?,False,1,True
bicycle,bicycle,The man is riding what?,False,1,True
yes,yes,Does the person to the left of the cat look young?,False,1,True
yes,yes,Is the table to the right of the surf board that looks blue and white?,False,1,True
bread,,What is the food to the right of the woman that is wearing a blouse?,False,0,False
giraffe,giraffe,Is this a giraffe or a boar?,False,1,True
left,left,"Where in this picture is the celery, on the left or on the right?",False,1,True
yes,,Are there either taxi cabs or trucks in this scene?,False,0,False
bird,bear,What kind of animal is in the water?,False,0,False
yes,yes,Is the long bus in the bottom?,False,1,True
no,yes,Is the car in the top of the photo?,False,0,False
no,yes,Are there both fences and umbrellas in the photo?,False,0,False
no,yes,Are there briefcases or purses that are not black?,False,0,False
yes,yes,Are there either any trains or trucks that are white?,False,1,True
no,yes,Are there any plates to the left of the chair?,False,0,False
yellow,yellow,Is the cup gray or yellow?,False,1,True
no,yes,Are there locks or surfboards in the scene?,False,0,False
yes,yes,Are there any black chairs?,False,1,True
yes,yes,Do you see ladies above the bench?,False,1,True
shelf,clock,What piece of furniture is above the tea pot?,False,0,False
yes,yes,Do you see either a remote control or a desk that are black?,False,1,True
no,yes,Is there any food to the left of the beer that is not off?,False,0,False
elephant,elephant,What the adult animal is called?,True,1,True
no,yes,Is the backpack to the left of a chair?,False,0,False
no,,Are there either any brooms or bottle caps?,False,0,False
yes,yes,Do you see a bottle or a bag that are small?,False,1,True
white,,Does that ceiling look white or brown?,False,0,False
yes,yes,Is the car to the right of the draperies the window is behind of?,False,1,True
no,,Is there any white bed or table?,False,0,False
grape,cherries,What is located on top of the dessert in the top of the picture?,True,0,False
yes,yes,Are there snowboards or parachutes?,False,1,True
yes,yes,Are there any polar bears on top of the grass?,False,1,True
gray,yellow,"Which color is the jacket, gray or yellow?",False,0,False
yes,yes,Are there either pots or mirrors?,True,1,True
no,yes,Does the car have a different color than the bridge?,False,0,False
yes,,Do you see remote controls or laptops that are white?,False,0,False
man,boy,Who is wearing a shirt?,False,0,False
left,left,Is the white umbrella to the right or to the left of the chair?,False,1,True
no,yes,Are there any bookcases to the right of the bowl?,False,0,False
large,,Is the plate to the right of the fork small or large?,False,0,False
yes,,Is there any bed below the wall that is made of stone?,False,0,False
no,,Is there a cup that is not made of plastic?,False,0,False
no,,Are there any knives in the image?,False,0,False
black,brass,Which color is the suitcase made of metal?,False,0,False
bus,police car,What is the vehicle that is red called?,False,0,False
long,,How long is the brown hair?,False,0,False
no,yes,Is the apartment building on the left of the image?,False,0,False
girl,,Who is in front of the trees?,True,0,False
green,,What color is the bottle the man is to the right of?,False,0,False
no,,Are there any parachutes?,False,0,False
yes,yes,Is the woman on the left side of the picture?,False,1,True
no,yes,Are there both women and men in the picture?,False,0,False
yes,,Are there any sheep in this image that are not small?,False,0,False
yes,elephant,Are there any mirrors in the image?,False,0,False
white,,Is the shoe white or black?,False,0,False
desk,desk,"What is the remote on, a desk or a bed?",False,1,True
no,yes,Are there any men to the right of the lady?,False,0,False
no,yes,Are there helmets to the left of the person that is in the center?,False,0,False
yes,,Is the girl on the left?,False,0,False
no,,Is there any banana that is not green?,False,0,False
yes,yes,Is the utensil made of metal both long and silver?,False,1,True
no,yes,Do the blinds that are to the right of the clock have green color?,False,0,False
no,yes,Are there either any bags or glasses?,False,0,False
yes,,Do you see laptops there that are not black?,False,0,False
yes,yes,Is there a cup or a bottle that is made of plastic?,False,1,True
yes,yes,Are there either beach umbrellas or surfboards?,False,1,True
yes,,Is there a small lamp in this image?,False,0,False
yes,,Is the happy woman to the left of the happy man?,False,0,False
sandwich,sandwich,Is this a donut or a sandwich?,False,1,True
yes,yes,Are there any screens to the right of her?,False,1,True
no,yes,Do you see any clock towers in the photo that are not tall?,False,0,False
ocean,miami beach florida,What place is it?,False,0,False
no,yes,Do you see buses to the left of the safety cone that looks white and orange?,False,0,False
no,,Do you see a cup to the right of the plate made of paper?,False,0,False
yes,yes,Are there either windows or doors?,False,1,True
yes,yes,Does that umbrella look yellow?,False,1,True
yes,,Are there pans in the scene?,False,0,False
no,yes,Does the plate to the left of the napkins have square shape?,False,0,False
yes,yes,Is the street gray?,False,1,True
green,,Is the grass brown or green?,False,0,False
yes,,Do you see ties there that are white?,False,0,False
no,yes,Is there either a zebra or a pigeon in the photo?,False,0,False
no,yes,Are there any cars?,False,0,False
green,green,Do the trees look green or white?,False,1,True
no,yes,Are there fences or giraffes in the image?,False,0,False
yes,yes,Is the fork on the left side?,False,1,True
yes,,Does that coffee table have short length and light brown color?,False,0,False
no,,Is the guy in the top?,True,0,False
no,,Are there any cups?,False,0,False
no,yes,Is the bottle to the left of a girl?,False,0,False
yes,yes,Are there any white surfboards?,False,1,True
no,,Is the happy woman to the left of a man?,False,0,False
yes,,Is the carriage wooden?,False,0,False
no,,Is there any grass that is not brown?,False,0,False
no,yes,Are there any shields?,False,0,False
no,,Are there candles on the cake?,False,0,False
no,yes,Are there any fences in the photo?,False,0,False
no,,Are there either frisbees or tennis balls that are not green?,False,0,False
no,,Do you see any fences?,False,0,False
right,right,On which side is the chair?,False,1,True
yes,yes,Do you see a purse that is black?,False,1,True
no,yes,Are there cars in the picture?,False,0,False
yes,yes,Does the bike have white color?,False,1,True
off,,Is the device to the right of the CD on or off?,True,0,False
yes,yes,Are there either buses or words?,False,1,True
no,yes,Do you see any truck to the right of the bus?,False,0,False
long,long,Is the white sofa to the left of the coffee table long or short?,False,1,True
no,,Do you see any fences?,False,0,False
no,,Is there any dog in this image that is not small?,False,0,False
buns,ice cream,What is the food that is on the white plate?,True,0,False
yes,yes,Do you see any people to the left of the woman?,False,1,True
no,yes,Is the clear sky bright and white?,False,0,False
no,yes,Are there both a cup and a plate in the photo?,False,0,False
bowl,apple bowl,What do you think is the apple in?,False,0,True
no,yes,Do you see any books to the right of the animal in the middle?,False,0,False
no,yes,Are there keyboards to the left of the black device?,False,0,False
left,,Which side of the photo is the woman on?,True,0,False
no,,Are there either any fire trucks or locomotives in the image?,False,0,False
no,yes,Is there a fence in the picture?,False,0,False
no,,Are there any drawers?,False,0,False
yes,yes,Are there trains or fences that are made of metal?,False,1,True
yes,yes,Does the table look metallic?,False,1,True
no,yes,Does the garbage can have large size?,False,0,False
yes,,Is the pink sponge in the bottom of the image?,False,0,False
no,,Is there a spoon next to the chocolate dessert with the ice cream?,False,0,False
yes,yes,Do you see any chairs?,False,1,True
yes,,Does the animal to the right of the boy look light?,False,0,False
yes,,Does the shoe have a different color than the pole?,False,0,False
no,yes,Is the black box to the left of the full bottle?,False,0,False
yes,yes,Do you see any bird there?,False,1,True
yes,yes,Are there helmets or motorbikes in the picture?,False,1,True
yes,yes,Are the white drawers under a counter?,False,1,True
no,,Are there both a carrot and a spoon?,False,0,False
yes,,Are there chairs to the right of the bottle?,False,0,False
headphones,phone,What is the device to the right of the man that is wearing jeans?,True,0,False
man,waiting train arrive,Who are the women watching?,False,0,False
white,blue,What color does the athletic shoe the girl is wearing have?,False,0,False
no,bells,Do you see either bells or toys?,False,0,False
no,yes,Do you see any bottles?,False,0,False
computer mouse,keyboard,Which kind of device is to the right of the laptop?,False,0,False
yes,yes,Is the dog on the surfboard in the bottom of the picture?,False,1,True
yes,yes,Does the sweatshirt have maroon color?,False,1,True
right,left,Is the woman to the right or to the left of the person that is wearing shoes?,False,0,False
yes,,Are there rackets in the picture that are black?,False,0,False
yes,yes,Is the man to the left of the girl?,False,1,True
left,left,Which side is the blue box on?,True,1,True
yes,,Are there horses or dogs that are brown?,False,0,False
no,yes,Are there any speakers or projectors in this image?,False,0,False
no,yes,Is the chair on the left?,True,0,False
cat,cat,Which kind of animal is it?,False,1,True
yes,yes,Are there any white clocks?,False,1,True
no,yes,Are there any boats in the image?,False,0,False
yes,fence,Is there a skateboard or a fence that is made of wood?,False,0,False
yes,,Is there a pillow that is not beige?,False,0,False
no,yes,Does the large fruit look peeled?,False,0,False
no,yes,Is there a fence or a bag in the photo?,False,0,False
yes,yes,Does the stuffed animal to the left of the sheep look brown?,False,1,True
yes,,Is the figure metallic?,False,0,False
ipod,keyboard,What device is to the left of the computer mouse?,True,0,False
child,boy right,Who is holding the racket on the right side of the image?,True,0,False
no,yes,Does the jacket look blue?,False,0,False
yes,yes,Are there any wood fences or trays?,False,1,True
yes,yes,Does the tan sand look sandy?,False,1,True
yes,yes,Does the door of the building have a different color than the tree?,False,1,True
no,,Are there either any fences or cars in this picture?,False,0,False
food truck,,The paper is on what?,True,0,False
no,yes,Are there people to the left of the vehicle the SUV is next to?,False,0,False
left,right,Is the woman to the left or to the right of the truck that looks yellow and orange?,False,0,False
closed,closed,Is the door open or maybe closed?,False,1,True
no,,Are there any lamps or pictures?,False,0,False
man,,Who is wearing shorts?,True,0,False
left,left,Is the plate to the right or to the left of the spoon on the right side?,False,1,True
yes,,Is the woman to the left of the juice on the table?,False,0,False
no,yes,Are there soap dispensers or statues in the picture?,True,0,False
yes,yes,Are there desserts on top of the plate that is on the right side?,False,1,True
yes,yes,Are there any fences or hats in the picture?,False,1,True
no,yes,Are there parking meters in the image?,False,0,False
no,yes,Is there a silver mirror or table?,False,0,False
no,yes,Does the small table have square shape?,False,0,False
no,,Does the toilet seat have a different shape than the sink?,False,0,False
chair,chair,Which type of furniture is this?,False,1,True
no,yes,Is the hose on the right side of the image?,False,0,False
yes,yes,Does the pizza look fresh?,False,1,True
yes,yes,Are there books to the left of the purple chair?,False,1,True
no,yes,Do the outfit and the handbag have a different colors?,False,0,False
no,yes,Is there a chair to the left of the person that is wearing a shirt?,False,0,False
table,couch,Which kind of furniture is the soda can on?,False,0,False
no,batters,Do you see either men or batters?,False,0,False
no,yes,Does the bowl look red?,True,0,False
no,,Is there any mirror in the photo?,False,0,False
no,yes,Are there any skaters?,False,0,False
no,,Is the stove to the left of a cabinet?,False,0,False
yes,yes,Do you think the dog is gray?,False,1,True
small,1,How large is the boat on the ocean?,False,0,False
yes,,Do you see any black trucks?,False,0,False
no,,Are there cows or horses that are not brown?,False,0,False
no,,Are there any forks in this photo?,False,0,False
refrigerator,refrigerator,What is the name of the open appliance?,True,1,True
bottom,top,"Where in the image is the green tree, in the bottom or in the top?",False,0,False
no,yes,Are there either lamps or shelves?,False,0,False
no,,Do you see bottles to the right of the person that is wearing a hat?,False,0,False
yes,yes,Do you see a flag to the right of the American flag?,False,1,True
woman,man blue jacket,Who is wearing a jacket?,True,0,False
no,yes,Is this kid eating?,False,0,False
no,yes,Is there either any bird or dog in the picture?,False,0,False
no,yes,Are there any couches to the left of the chair?,False,0,False
no,,Are there fences in the scene?,False,0,False
no,yes,Are there any glasses in this image?,False,0,False
no,,Are there any pillows in the scene?,False,0,False
yes,yes,Are there either any men or women in this picture?,False,1,True
yes,yes,Does that container have red color?,False,1,True
yes,yes,Is the door open?,False,1,True
no,,Are there any dogs or cats?,False,0,False
pasta,,Which type of food is to the right of the pizza?,False,0,False
yes,yes,Are there any surfboards in the picture that are not red?,False,1,True
no,,Are there photographers in the photograph?,False,0,False
no,yes,Is there a frog or a parrot in this image?,False,0,False
dark,white,What color is the boy's hair?,False,0,False
no,,Is the picture to the right of the woman that is wearing glasses?,False,0,False
yes,,Is there a window or a door?,False,0,False
no,,Are the utensils on the right?,False,0,False
no,yes,Is there a black refrigerator or dishwasher?,False,0,False
no,,Are there any lamps or mirrors?,False,0,False
no,yes,Is there a duck to the right of the kite?,False,0,False
no,yes,Are there cups to the right of the wine of the glass?,False,0,False
no,,Is there either a blue pillow or blanket?,False,0,False
no,yes,Are there cars to the right of the person on the left?,False,0,False
right,,Is the cup to the left or to the right of the old woman?,False,0,False
brown,,What color is the glove?,False,0,False
table,,Which kind of furniture is the microwave on?,False,0,False
no,yes,Does the clock that is to the right of the person look round and red?,False,0,False
no,plate,Is there a spoon or a plate in the photo?,False,0,False
no,yes,Are there any bags or girls in the photo?,False,0,False
no,yes,Do you see any fences there?,False,0,False
yes,yes,Is there either mud or sand in the image?,False,1,True
no,yes,Do you see either cars or fences?,False,0,False
yes,yes,Is there a traffic light or a helmet that is green?,False,1,True
yes,yes,Does the sheep that is not old have small size and white color?,False,1,True
yes,,Do you see chairs there?,False,0,False
boats,boat,What watercraft is in front of the water?,True,0,False
yes,,Do you see any traffic lights in the picture that are not green?,False,0,False
yes,,Is this a white bear?,False,0,False
no,yes,Is the cake to the right of the plate orange and round?,False,0,False
no,,Is there a giraffe in this photo?,False,0,False
yes,,Does the small potato have red color?,False,0,False
no,yes,Are there either black backpacks or briefcases?,False,0,False
no,yes,Is the blue umbrella to the left of the towel that is in the bottom of the picture?,False,0,False
yes,yes,Is there any large snow or ice?,False,1,True
no,yes,Does the flag to the left of the other flag have white color?,False,0,False
no,yes,Are there figurines in the image?,False,0,False
yes,yes,Do you see televisions that are on?,False,1,True
no,yes,Is the small airplane to the right of the person on the right?,False,0,False
gray,green,What color is the rug?,False,0,False
outdoors,indoors,Is it indoors or outdoors?,True,0,False
no,yes,Do you see a bag to the right of the bike?,False,0,False
yes,yes,Are there either any blue clocks or flags?,False,1,True
no,yes,Is there a bird in this image?,False,0,False
yes,,Does the man shirt look white?,False,0,False
yes,parasol,Is there an umbrella or a racket that is colorful?,False,0,False
no,yes,Are there either any mailboxes or cars?,False,0,False
car,skateboarding,What vehicle is to the right of the man?,False,0,False
oven,microwave,Is this an oven or a refrigerator?,False,0,False
no,yes,Are there either black headphones or keyboards?,False,0,False
yes,yes,Are there any elephants in the picture that are not small?,False,1,True
no,,Are there any fences or glasses in the image?,False,0,False
black,black,Does the dish washer look black or white?,False,1,True
boat,vegetables,What is in the water?,False,0,False
street sign,,What type of sign is on the pole?,False,0,False
yes,stop,Is there a traffic sign in the image?,False,0,False
no,yes,Do you see any people to the right of the fence?,False,0,False
yes,,Are there any pizzas or plates in the photo?,False,0,False
yes,yes,Are there any chairs or tables?,False,1,True
yes,fish,Is there any meat that is brown?,False,0,False
left,left,On which side of the photo is the black bag?,False,1,True
yes,yes,Are there either white cars or doors?,False,1,True
yes,,Are there any ropes around the elephant?,False,0,False
no,yes,Are there either any horses or fences?,False,0,False
airplane,c130 hercules,What is this aircraft called?,False,0,False
yes,,Is the cat near the sink resting on the counter?,False,0,False
no,yes,Are there either fences or cars in this scene?,False,0,False
no,,Do you see any mouse pads or boxes in the image?,False,0,False
no,yes,Are there electric toothbrushes or umbrellas?,False,0,False
yes,yes,Is the person to the left of the car wearing eyeglasses?,False,1,True
yes,,Do the meat and the cream have a different colors?,False,0,False
yes,,Are there collars or trays in the picture?,False,0,False
no,,Are the purse and the jar the same color?,False,0,False
no,yes,Are there any bikes that are white in the image?,False,0,False
no,yes,Is there a clock in this photograph?,False,0,False
yes,,Are there pickles in the bowl that is in the top?,False,0,False
elephant,elephant,Is that a hippo or an elephant?,False,1,True
no,yes,Are there any fences in the photo?,False,0,False
no,yes,Is the brown chair to the right of a mug?,False,0,False
bench,bench,What is the man sitting on?,False,1,True
no,,Are there either cars or umbrellas in the picture?,False,0,False
no,,Are there cabinets in this image?,False,0,False
yes,yes,Are there any laptops on the table that looks white and silver?,False,1,True
table,bathroom,What type of furniture is the sink on?,False,0,False
yes,yes,Do you see any men to the right of the SUV that looks white?,False,1,True
no,yes,Is the color of the shirt collar the same as the place mat?,False,0,False
yes,,Is the wood desk to the right of a nightstand?,False,0,False
blue,green,The sky is what color?,False,0,False
no,yes,Do you see fences in this photograph that are not square?,False,0,False
yes,,Are there any women?,False,0,False
no,yes,Are there large fences in the picture?,False,0,False
no,yes,Is there a helmet to the left of the skis the girl is to the right of?,False,0,False
yes,yes,Do you see brown cows?,False,1,True
yes,yes,Is the coffee table to the right of the rug that is brown and white?,False,1,True
no,yes,Are there any swans or geese?,False,0,False
no,yes,Are there pictures or mirrors?,False,0,False
top,bottom,Is the airplane in the top or in the bottom part?,False,0,False
no,yes,Is there a chair?,False,0,False
no,yes,Are there any cars in the photo?,False,0,False
yes,boys wearing ties,Is there any tie in the photograph?,False,0,False
yes,yes,Is the person that is to the right of the man wearing a ski?,False,1,True
front,behind,Is the tree behind or in front of the building?,False,0,False
yes,yes,Is the console different in color than the television?,False,1,True
pillows,couch,What is on the couch?,False,0,False
yes,yes,Is there a bus that is white in the picture?,False,1,True
yes,yes,Is there a kite in this photograph that is not red?,False,1,True
no,yes,Is the skirt the same color as the shirt?,False,0,False
yes,yes,Is the plate white?,False,1,True
no,yes,Are there both helmets and surfboards in the picture?,False,0,False
yes,yes,Is there either a truck or an airplane in the photo?,False,1,True
no,yes,Does the spoon to the right of the bowl seem to be black?,False,0,False
no,yes,Are there either any salt shakers or mirrors in the photograph?,False,0,False
no,yes,Does the vehicle to the left of the vehicle appear to be waiting?,False,0,False
no,yes,Are there both monitors and keyboards in this image?,True,0,False
yes,yes,Is there a clock on the post made of iron?,False,1,True
no,yes,Are there either carts or mailboxes?,False,0,False
yes,yes,Is there a wooden door or cabinet?,False,1,True
yes,yes,Are there couches to the right of the chair?,False,1,True
yes,yes,Are there any breads that are brown?,False,1,True
yes,,Is the hair both brown and long?,False,0,False
yes,yes,Do you see any brown grass?,False,1,True
yes,,Is there either a wood fence or bench?,False,0,False
no,,Are there any glasses or pictures in the photograph?,False,0,False
yes,yes,Is the chair to the right of the blanket both wooden and blue?,False,1,True
no,,Are there small televisions in the photo?,False,0,False
yes,yes,Is he wearing headphones?,False,1,True
yes,yes,Are there any people to the left of the women that are to the left of the fence?,False,1,True
cabinet,stove,What piece of furniture is to the right of the can?,True,0,False
yes,,Does the cauliflower on the plate look cooked?,False,0,False
train,train,What vehicle is red?,False,1,True
yes,yes,Does that microwave look gray?,False,1,True
yes,yes,Does the kite look red?,False,1,True
no,yes,Are there suitcases or bicycles in this picture?,False,0,False
left,right,"On which side is the pillow, the left or the right?",False,0,False
no,yes,Do you see any pepperoni to the right of the food on the macaroni?,False,0,False
yes,,Is the wood shelf on the right side of the picture?,False,0,False
