answer,image_path,question,source_image_id,sample_dataset,sample_question_id
yes,CLEVR_train_005168.png,Is the number of blue spheres that are in front of the purple matte ball greater than the number of tiny gray blocks?,clevr-005168,clevr,
no,CLEVR_train_051279.png,Do the tiny brown metallic thing and the tiny cyan metallic object have the same shape?,clevr-051279,clevr,
0,CLEVR_train_012412.png,What number of yellow shiny things are the same shape as the red shiny object?,clevr-012412,clevr,
0,CLEVR_train_062690.png,There is a brown rubber object; what number of big blocks are in front of it?,clevr-062690,clevr,
metal,CLEVR_train_018000.png,What is the ball that is to the left of the small green matte sphere made of?,clevr-018000,clevr,
cube,CLEVR_train_001343.png,There is a tiny green object that is made of the same material as the large purple ball; what is its shape?,clevr-001343,clevr,
rubber,CLEVR_train_008864.png,What is the material of the sphere that is the same size as the brown cube?,clevr-008864,clevr,
yes,CLEVR_train_053334.png,There is a tiny block to the right of the red matte thing; is there a rubber thing behind it?,clevr-053334,clevr,
rubber,CLEVR_train_047924.png,There is a yellow object that is the same size as the gray rubber cube; what material is it?,clevr-047924,clevr,
small,CLEVR_train_059040.png,There is a metal cylinder in front of the small purple matte thing; what is its size?,clevr-059040,clevr,
cube,CLEVR_train_041143.png,What shape is the tiny gray thing on the left side of the metal object that is on the left side of the large thing that is to the left of the metal ball?,clevr-041143,clevr,
0,CLEVR_train_014147.png,How many small cyan things are both in front of the small matte cylinder and behind the red object?,clevr-014147,clevr,
1,CLEVR_train_019906.png,What number of big spheres are made of the same material as the small yellow object?,clevr-019906,clevr,
yes,CLEVR_train_019902.png,Are there an equal number of balls that are behind the tiny green ball and small green metallic spheres that are in front of the small yellow ball?,clevr-019902,clevr,
gray,CLEVR_train_031025.png,What color is the small thing that is behind the cyan rubber thing on the right side of the shiny thing that is behind the small gray metallic object?,clevr-031025,clevr,
large,CLEVR_train_054237.png,The matte thing that is the same color as the tiny metallic sphere is what size?,clevr-054237,clevr,
yes,CLEVR_train_005880.png,Are there any other things that are the same size as the metal sphere?,clevr-005880,clevr,
blue,CLEVR_train_039218.png,What is the color of the rubber cube that is the same size as the gray cylinder?,clevr-039218,clevr,
0,CLEVR_train_036625.png,How many cyan things are either big rubber cylinders or cylinders?,clevr-036625,clevr,
yes,CLEVR_train_038298.png,Are there any big matte objects that have the same color as the large rubber block?,clevr-038298,clevr,
yes,CLEVR_train_023347.png,Are there more small things in front of the green shiny cube than large cyan rubber cubes right of the large cyan matte cube?,clevr-023347,clevr,
yes,CLEVR_train_034325.png,Is the shape of the small object that is to the right of the yellow object the same as the big metal object that is right of the yellow shiny ball?,clevr-034325,clevr,
1,CLEVR_train_061219.png,What number of objects are gray things that are in front of the tiny shiny block or small red metallic cylinders?,clevr-061219,clevr,
1,CLEVR_train_029568.png,How many cylinders are either cyan rubber objects or small brown matte things?,clevr-029568,clevr,
rubber,CLEVR_train_002327.png,There is a sphere that is right of the large red object behind the tiny yellow metal object; what is its material?,clevr-002327,clevr,
sphere,CLEVR_train_003202.png,The large thing that is in front of the big rubber block has what shape?,clevr-003202,clevr,
2,CLEVR_train_032946.png,What number of other objects are there of the same size as the cyan matte block?,clevr-032946,clevr,
brown,CLEVR_train_011232.png,What color is the metal object that is the same size as the blue rubber thing?,clevr-011232,clevr,
no,CLEVR_train_038418.png,Are there any tiny gray metal things that have the same shape as the tiny red metallic object?,clevr-038418,clevr,
1,CLEVR_train_027437.png,What number of metal things are either tiny green cubes or red spheres?,clevr-027437,clevr,
large,CLEVR_train_047618.png,The other object that is the same shape as the green metal thing is what size?,clevr-047618,clevr,
no,CLEVR_train_056629.png,Does the brown metal thing have the same size as the metal object left of the big brown cylinder?,clevr-056629,clevr,
green,CLEVR_train_023094.png,What color is the thing that is in front of the tiny brown shiny sphere and left of the big blue object?,clevr-023094,clevr,
yes,CLEVR_train_013920.png,Are there any tiny gray things that have the same material as the tiny brown cylinder?,clevr-013920,clevr,
cylinder,CLEVR_train_017315.png,What shape is the metallic object that is to the right of the big rubber object that is in front of the cube that is right of the small matte cylinder?,clevr-017315,clevr,
large,CLEVR_train_034852.png,What is the size of the rubber thing behind the yellow object?,clevr-034852,clevr,
1,CLEVR_train_036700.png,What number of big cubes are to the left of the object that is in front of the small cylinder in front of the large blue cube?,clevr-036700,clevr,
yes,CLEVR_train_039485.png,Is there anything else that has the same size as the gray thing?,clevr-039485,clevr,
no,CLEVR_train_052168.png,Is the number of cyan shiny cubes greater than the number of metallic things?,clevr-052168,clevr,
no,CLEVR_train_009113.png,Are there fewer brown rubber objects in front of the large sphere than yellow balls behind the big purple shiny block?,clevr-009113,clevr,
gray,CLEVR_train_045235.png,The large cylinder has what color?,clevr-045235,clevr,
2,CLEVR_train_050404.png,How many objects are either red things in front of the big rubber sphere or cyan spheres?,clevr-050404,clevr,
0,CLEVR_train_015594.png,How many other things are there of the same color as the rubber cylinder?,clevr-015594,clevr,
small,CLEVR_train_036515.png,There is a cylinder that is both on the left side of the cyan matte block and in front of the tiny gray shiny cylinder; how big is it?,clevr-036515,clevr,
small,CLEVR_train_062468.png,There is a object that is right of the tiny green rubber object and on the left side of the tiny metal cylinder; what size is it?,clevr-062468,clevr,
cylinder,CLEVR_train_048827.png,There is a small rubber object in front of the cube that is left of the large matte object; what shape is it?,clevr-048827,clevr,
no,CLEVR_train_022837.png,Is there a blue cube that has the same material as the big green object?,clevr-022837,clevr,
sphere,CLEVR_train_025701.png,What shape is the object that is both in front of the rubber cylinder and behind the cyan sphere?,clevr-025701,clevr,
metal,CLEVR_train_029863.png,What is the material of the purple object that is the same shape as the small yellow rubber thing?,clevr-029863,clevr,
large,CLEVR_train_001600.png,There is a rubber object that is both right of the large metallic cube and in front of the matte cylinder; what size is it?,clevr-001600,clevr,
yes,CLEVR_train_027432.png,There is a purple metal cylinder; is its size the same as the green metallic object in front of the small purple ball?,clevr-027432,clevr,
yes,CLEVR_train_036971.png,Is the number of yellow matte spheres less than the number of matte cubes?,clevr-036971,clevr,
no,CLEVR_train_022948.png,Are there any other things that have the same material as the big brown cylinder?,clevr-022948,clevr,
yes,CLEVR_train_064602.png,Is there a big cube of the same color as the large metallic sphere?,clevr-064602,clevr,
yes,CLEVR_train_064625.png,There is a blue shiny object that is in front of the cube; is it the same shape as the brown object left of the tiny brown sphere?,clevr-064625,clevr,
no,CLEVR_train_029140.png,There is a matte block in front of the big brown ball; are there any red metallic objects that are behind it?,clevr-029140,clevr,
no,CLEVR_train_029499.png,There is a tiny matte cylinder; is it the same color as the tiny cylinder that is on the left side of the yellow ball?,clevr-029499,clevr,
yes,CLEVR_train_043351.png,Are there more big shiny cylinders that are in front of the rubber cylinder than small yellow metallic cylinders?,clevr-043351,clevr,
yes,CLEVR_train_049435.png,There is a shiny block that is behind the brown shiny cube; does it have the same color as the shiny thing that is in front of the cylinder?,clevr-049435,clevr,
sphere,CLEVR_train_017723.png,The large cyan thing that is in front of the small purple metal cylinder that is on the left side of the large brown thing is what shape?,clevr-017723,clevr,
no,CLEVR_train_043592.png,Is the gray cylinder made of the same material as the small purple cylinder?,clevr-043592,clevr,
red,CLEVR_train_029082.png,There is a rubber object that is the same size as the purple matte sphere; what color is it?,clevr-029082,clevr,
metal,CLEVR_train_048824.png,There is a yellow block that is on the left side of the small rubber object that is behind the tiny metallic object that is in front of the brown block; what is its material?,clevr-048824,clevr,
2,CLEVR_train_028818.png,How many gray cylinders are there?,clevr-028818,clevr,
1,CLEVR_train_008682.png,What number of other things are there of the same material as the big purple thing,clevr-008682,clevr,
cylinder,CLEVR_train_026855.png,The brown object is what shape?,clevr-026855,clevr,
small,CLEVR_train_040911.png,What size is the matte ball that is on the left side of the cyan thing?,clevr-040911,clevr,
no,CLEVR_train_024778.png,Are there any green shiny objects of the same size as the gray matte cylinder?,clevr-024778,clevr,
yes,CLEVR_train_028895.png,Are there any other things that are the same size as the metal cylinder?,clevr-028895,clevr,
1,CLEVR_train_019000.png,What number of things are the same size as the cylinder?,clevr-019000,clevr,
no,CLEVR_train_045279.png,Are there any other metallic blocks that have the same color as the block?,clevr-045279,clevr,
yes,CLEVR_train_026929.png,Is there a metallic thing that has the same shape as the yellow matte thing?,clevr-026929,clevr,
yes,CLEVR_train_065803.png,Are the cylinder in front of the tiny red rubber cylinder and the big cyan cylinder made of the same material?,clevr-065803,clevr,
metal,CLEVR_train_038471.png,There is a big green object that is the same shape as the yellow thing; what material is it?,clevr-038471,clevr,
large,CLEVR_train_058648.png,There is a yellow object in front of the gray matte block; what size is it?,clevr-058648,clevr,
large,CLEVR_train_010968.png,What is the size of the object that is the same material as the brown cylinder?,clevr-010968,clevr,
small,CLEVR_train_000627.png,The yellow matte object that is the same shape as the blue matte object is what size?,clevr-000627,clevr,
yes,CLEVR_train_026268.png,Is there any other thing that has the same material as the large green sphere?,clevr-026268,clevr,
no,CLEVR_train_022511.png,There is a metallic ball to the left of the large cube in front of the large metal thing; are there any cyan objects that are on the left side of it?,clevr-022511,clevr,
purple,CLEVR_train_031986.png,The metallic sphere that is the same size as the cyan metal thing is what color?,clevr-031986,clevr,
1,CLEVR_train_052139.png,How many objects are blue blocks that are right of the tiny sphere or small gray metal things?,clevr-052139,clevr,
0,CLEVR_train_034230.png,What number of blocks are behind the purple rubber object and in front of the large sphere?,clevr-034230,clevr,
no,CLEVR_train_036032.png,Is the material of the large ball the same as the object that is in front of the cyan sphere?,clevr-036032,clevr,
1,CLEVR_train_060035.png,How many big cylinders are the same color as the tiny metallic ball?,clevr-060035,clevr,
yes,CLEVR_train_021334.png,Are there the same number of small cyan matte things on the left side of the large red sphere and small brown balls that are in front of the small rubber cylinder?,clevr-021334,clevr,
yes,CLEVR_train_063722.png,Is there any other thing that has the same color as the rubber ball?,clevr-063722,clevr,
rubber,CLEVR_train_017944.png,What is the material of the purple block?,clevr-017944,clevr,
metal,CLEVR_train_038304.png,What material is the small green object that is right of the big thing in front of the matte object right of the big block?,clevr-038304,clevr,
1,CLEVR_train_020835.png,There is a yellow cylinder; what number of brown objects are to the right of it?,clevr-020835,clevr,
blue,CLEVR_train_022480.png,What is the color of the other tiny shiny object that is the same shape as the tiny yellow thing?,clevr-022480,clevr,
yes,CLEVR_train_068929.png,Is the number of big matte blocks in front of the large purple cube greater than the number of big purple matte blocks that are to the right of the small rubber sphere?,clevr-068929,clevr,
cube,CLEVR_train_064463.png,What shape is the big green metallic thing?,clevr-064463,clevr,
yes,CLEVR_train_026920.png,There is a gray rubber cylinder that is on the right side of the green thing; does it have the same size as the rubber cylinder in front of the large yellow rubber thing?,clevr-026920,clevr,
cube,CLEVR_train_015895.png,What is the shape of the large object that is the same material as the cylinder?,clevr-015895,clevr,
1,CLEVR_train_049629.png,How many spheres are either large yellow things or tiny cyan metallic objects?,clevr-049629,clevr,
0,CLEVR_train_031668.png,How many brown metallic things are the same shape as the purple thing?,clevr-031668,clevr,
no,CLEVR_train_019033.png,Are there any tiny matte cylinders that have the same color as the cube?,clevr-019033,clevr,
yes,CLEVR_train_025777.png,There is a yellow metal object; is it the same size as the blue ball that is to the right of the blue shiny cube?,clevr-025777,clevr,
yes,CLEVR_train_007473.png,Is the shape of the big blue thing the same as the tiny thing that is in front of the small brown rubber sphere?,clevr-007473,clevr,
no,CLEVR_train_061819.png,Is the material of the big cyan object the same as the small yellow sphere?,clevr-061819,clevr,
no,CLEVR_train_064913.png,Are there any tiny purple rubber balls?,clevr-064913,clevr,
cube,CLEVR_train_051559.png,There is a large object in front of the tiny block in front of the large thing that is to the right of the blue metallic ball; what is its shape?,clevr-051559,clevr,
1,CLEVR_train_035925.png,How many cubes are in front of the tiny cylinder?,clevr-035925,clevr,
yes,CLEVR_train_051939.png,Is there a cylinder of the same size as the matte cube?,clevr-051939,clevr,
small,CLEVR_train_034938.png,How big is the rubber block?,clevr-034938,clevr,
no,CLEVR_train_020691.png,Do the metal thing that is behind the big blue shiny thing and the matte object have the same color?,clevr-020691,clevr,
no,CLEVR_train_038674.png,Are there any other large rubber things of the same shape as the large red thing?,clevr-038674,clevr,
cube,CLEVR_train_027258.png,What shape is the small brown object that is made of the same material as the red sphere?,clevr-027258,clevr,
2,CLEVR_train_060495.png,What number of big shiny things are behind the small rubber cylinder?,clevr-060495,clevr,
small,CLEVR_train_036480.png,There is a object that is made of the same material as the block; what size is it?,clevr-036480,clevr,
1,CLEVR_train_012082.png,What number of other objects have the same size as the purple matte object?,clevr-012082,clevr,
2,CLEVR_train_000587.png,What number of other things are there of the same shape as the red rubber object?,clevr-000587,clevr,
large,CLEVR_train_064824.png,How big is the cyan ball that is left of the red thing that is behind the large shiny ball right of the tiny purple rubber sphere?,clevr-064824,clevr,
no,CLEVR_train_037740.png,There is a big object behind the red matte cylinder; is it the same shape as the blue metal thing that is in front of the small blue object?,clevr-037740,clevr,
1,CLEVR_train_039722.png,What number of rubber things are in front of the big red object and left of the large yellow ball?,clevr-039722,clevr,
brown,CLEVR_train_051040.png,What is the color of the big cylinder that is on the left side of the big blue object right of the yellow rubber cylinder?,clevr-051040,clevr,
3,CLEVR_train_054236.png,How many objects are either rubber objects behind the small rubber sphere or large yellow blocks behind the red thing?,clevr-054236,clevr,
yes,CLEVR_train_009255.png,Are there any other large objects that have the same color as the big metal object?,clevr-009255,clevr,
3,CLEVR_train_012886.png,How many other things are there of the same material as the tiny red block?,clevr-012886,clevr,
yellow,CLEVR_train_025198.png,There is a shiny object behind the big sphere right of the matte object on the left side of the yellow cube; what is its color?,clevr-025198,clevr,
no,CLEVR_train_057190.png,Is the number of rubber things that are on the right side of the large yellow metal thing less than the number of cyan objects?,clevr-057190,clevr,
yes,CLEVR_train_059453.png,There is a green metal cube in front of the tiny red thing; is it the same size as the metallic cylinder left of the small gray matte thing?,clevr-059453,clevr,
3,CLEVR_train_016646.png,How many things are either large blue things or cylinders on the right side of the small purple metal thing?,clevr-016646,clevr,
large,CLEVR_train_033596.png,The purple ball that is the same material as the tiny cyan cylinder is what size?,clevr-033596,clevr,
yes,CLEVR_train_010681.png,Is the shape of the large brown rubber thing the same as the tiny object left of the tiny gray object?,clevr-010681,clevr,
rubber,CLEVR_train_033682.png,The cube that is both on the left side of the large yellow metal thing and in front of the gray thing is made of what material?,clevr-033682,clevr,
no,CLEVR_train_022783.png,Do the small cube and the large green object have the same material?,clevr-022783,clevr,
large,CLEVR_train_033054.png,There is a object behind the purple rubber thing that is behind the cyan object; what size is it?,clevr-033054,clevr,
cube,CLEVR_train_021370.png,There is a cyan object that is the same size as the shiny sphere; what is its shape?,clevr-021370,clevr,
no,CLEVR_train_015990.png,Do the gray object that is left of the large gray object and the big gray rubber thing have the same shape?,clevr-015990,clevr,
rubber,CLEVR_train_042940.png,There is another small thing that is the same shape as the red object; what material is it?,clevr-042940,clevr,
no,CLEVR_train_048869.png,Are there fewer brown metallic blocks behind the tiny red cylinder than small blue objects?,clevr-048869,clevr,
metal,CLEVR_train_010711.png,What material is the tiny yellow object that is the same shape as the big purple thing?,clevr-010711,clevr,
no,CLEVR_train_000277.png,Do the yellow matte cylinder and the yellow block have the same size?,clevr-000277,clevr,
large,CLEVR_train_032098.png,What size is the yellow rubber thing that is the same shape as the red metal object?,clevr-032098,clevr,
no,CLEVR_train_039454.png,Is there a big brown cylinder to the left of the cyan metallic cylinder that is in front of the cyan shiny cylinder to the right of the rubber cylinder?,clevr-039454,clevr,
large,CLEVR_train_038297.png,What size is the red object behind the tiny ball that is to the right of the small purple ball?,clevr-038297,clevr,
gray,CLEVR_train_001143.png,The small metallic cube is what color?,clevr-001143,clevr,
cylinder,CLEVR_train_010941.png,There is a metallic thing that is left of the purple metal object; what is its shape?,clevr-010941,clevr,
cyan,CLEVR_train_061897.png,The metal object left of the brown cylinder in front of the big cylinder that is right of the tiny gray object is what color?,clevr-061897,clevr,
4,CLEVR_train_007404.png,How many objects are either matte cylinders that are on the right side of the small gray rubber cylinder or objects right of the small gray metal cube?,clevr-007404,clevr,
gray,CLEVR_train_003431.png,There is a large object that is made of the same material as the small yellow object; what is its color?,clevr-003431,clevr,
no,CLEVR_train_065126.png,There is a shiny block that is to the left of the small cyan shiny cube; is it the same color as the matte block that is on the left side of the big yellow object?,clevr-065126,clevr,
yes,CLEVR_train_019955.png,Do the large shiny object and the large green matte thing have the same shape?,clevr-019955,clevr,
small,CLEVR_train_060543.png,What size is the other shiny thing that is the same color as the big metal thing?,clevr-060543,clevr,
0,CLEVR_train_042279.png,What number of large things are metal spheres or brown rubber things?,clevr-042279,clevr,
no,CLEVR_train_019167.png,Is the color of the tiny cube the same as the rubber object behind the tiny red shiny cube?,clevr-019167,clevr,
large,CLEVR_train_032650.png,There is a yellow block that is behind the brown cube; what is its size?,clevr-032650,clevr,
1,CLEVR_train_002016.png,How many purple metallic cylinders have the same size as the brown cylinder?,clevr-002016,clevr,
2,CLEVR_train_007061.png,How many other things are there of the same shape as the small metal thing?,clevr-007061,clevr,
no,CLEVR_train_050547.png,Are there any other things that have the same color as the big shiny ball?,clevr-050547,clevr,
cylinder,CLEVR_train_034959.png,What shape is the red object that is the same size as the yellow metal object?,clevr-034959,clevr,
no,CLEVR_train_048435.png,Is there anything else that is the same shape as the big metal object?,clevr-048435,clevr,
3,CLEVR_train_000590.png,How many objects are either red objects that are behind the tiny yellow metallic sphere or shiny objects that are to the left of the big blue thing?,clevr-000590,clevr,
sphere,CLEVR_train_043320.png,What shape is the green thing right of the big shiny cube that is behind the tiny red rubber thing that is to the right of the big yellow object?,clevr-043320,clevr,
yes,CLEVR_train_031008.png,There is a matte ball to the left of the cyan cylinder; is it the same size as the small rubber cylinder?,clevr-031008,clevr,
yes,CLEVR_train_048981.png,Is the color of the tiny shiny cube the same as the large metal thing behind the red ball?,clevr-048981,clevr,
no,CLEVR_train_050674.png,Is the number of tiny matte spheres less than the number of yellow spheres?,clevr-050674,clevr,
yes,CLEVR_train_027075.png,Do the green thing behind the tiny green sphere and the green object that is in front of the red cylinder have the same shape?,clevr-027075,clevr,
2,CLEVR_train_050667.png,How many matte things are the same size as the blue shiny cube?,clevr-050667,clevr,
1,CLEVR_train_030686.png,There is a small rubber object on the right side of the small gray matte sphere; what number of tiny things are behind it?,clevr-030686,clevr,
gray,CLEVR_train_030550.png,The rubber thing that is the same size as the rubber ball is what color?,clevr-030550,clevr,
brown,CLEVR_train_024290.png,There is a tiny thing to the right of the small object behind the small gray thing; what is its color?,clevr-024290,clevr,
yes,CLEVR_train_016292.png,Is the number of small gray matte spheres less than the number of cylinders?,clevr-016292,clevr,
no,CLEVR_train_012087.png,There is a thing in front of the large green rubber thing; is its shape the same as the yellow matte thing?,clevr-012087,clevr,
no,CLEVR_train_017258.png,Are the block right of the tiny cube and the cyan cylinder on the left side of the large cyan matte thing made of the same material?,clevr-017258,clevr,
no,CLEVR_train_058817.png,Do the blue rubber thing and the tiny gray shiny thing have the same shape?,clevr-058817,clevr,
no,CLEVR_train_024042.png,Is the shape of the small gray metallic thing that is behind the small cyan cylinder the same as the large thing behind the tiny purple cube?,clevr-024042,clevr,
brown,CLEVR_train_050073.png,What color is the cylinder that is made of the same material as the cube?,clevr-050073,clevr,
0,CLEVR_train_031258.png,What number of other things are there of the same color as the metal sphere?,clevr-031258,clevr,
blue,CLEVR_train_009614.png,There is a matte cylinder that is the same size as the red shiny thing; what color is it?,clevr-009614,clevr,
small,CLEVR_train_040549.png,What is the size of the matte cylinder in front of the large object behind the large purple thing?,clevr-040549,clevr,
yes,CLEVR_train_002989.png,Are there any blocks in front of the large cyan object?,clevr-002989,clevr,
small,CLEVR_train_062808.png,What is the size of the purple matte cube?,clevr-062808,clevr,
yes,CLEVR_train_035373.png,Is there a purple matte ball that has the same size as the matte cylinder?,clevr-035373,clevr,
cylinder,CLEVR_train_050211.png,What shape is the small metal object behind the large cylinder that is in front of the tiny cyan cylinder?,clevr-050211,clevr,
yes,CLEVR_train_059031.png,Are there any other things that are the same shape as the tiny green matte object?,clevr-059031,clevr,
large,CLEVR_train_067377.png,The metallic block is what size?,clevr-067377,clevr,
rubber,CLEVR_train_015316.png,There is a cube that is on the right side of the green block; what is its material?,clevr-015316,clevr,
sphere,CLEVR_train_048207.png,The tiny metallic thing that is the same color as the shiny block is what shape?,clevr-048207,clevr,
0,CLEVR_train_022664.png,What number of other brown objects have the same shape as the brown metal object?,clevr-022664,clevr,
yes,CLEVR_train_007354.png,Is the big yellow matte object the same shape as the tiny matte object?,clevr-007354,clevr,
yes,CLEVR_train_051465.png,Is there anything else that is the same size as the gray block?,clevr-051465,clevr,
no,CLEVR_train_037106.png,Do the rubber object in front of the small green shiny thing and the shiny object that is behind the blue object have the same shape?,clevr-037106,clevr,
0,CLEVR_train_069236.png,What number of other blue matte objects are the same size as the blue object?,clevr-069236,clevr,
no,CLEVR_train_067750.png,Are there more large brown objects that are in front of the cyan metal thing than tiny green cylinders that are right of the tiny green cylinder?,clevr-067750,clevr,
1,CLEVR_train_025117.png,What number of green things are big matte cubes or shiny spheres?,clevr-025117,clevr,
yes,CLEVR_train_004351.png,Are there any tiny matte cubes to the left of the rubber block that is to the right of the small blue matte object?,clevr-004351,clevr,
0,CLEVR_train_036040.png,There is a small object in front of the gray ball; what number of spheres are right of it?,clevr-036040,clevr,
0,CLEVR_train_067294.png,What number of blocks are either purple matte objects or cyan objects?,clevr-067294,clevr,
green,CLEVR_train_035521.png,What is the color of the other thing that is the same material as the large thing?,clevr-035521,clevr,
blue,CLEVR_train_046868.png,What is the color of the sphere that is the same size as the yellow cylinder?,clevr-046868,clevr,
metal,CLEVR_train_030054.png,What material is the tiny thing that is on the right side of the tiny thing that is left of the metallic object that is in front of the gray metal object?,clevr-030054,clevr,
2,CLEVR_train_055687.png,What number of other things are there of the same material as the tiny purple object,clevr-055687,clevr,
no,CLEVR_train_064818.png,There is a red sphere; is it the same size as the gray matte object behind the big yellow block?,clevr-064818,clevr,
red,CLEVR_train_016795.png,What color is the big sphere in front of the big yellow object that is right of the big yellow thing that is left of the cyan rubber block?,clevr-016795,clevr,
red,CLEVR_train_065973.png,There is a rubber cube that is the same size as the sphere; what is its color?,clevr-065973,clevr,
no,CLEVR_train_002607.png,Are there any tiny brown objects of the same shape as the large gray thing?,clevr-002607,clevr,
yes,CLEVR_train_004453.png,Is the size of the blue matte cylinder the same as the red metallic thing?,clevr-004453,clevr,
no,CLEVR_train_037799.png,Does the large thing in front of the big red metallic object have the same shape as the object that is to the left of the small matte ball?,clevr-037799,clevr,
no,CLEVR_train_060591.png,Do the matte object that is behind the blue sphere and the small metallic object have the same color?,clevr-060591,clevr,
no,CLEVR_train_001577.png,Are any small purple objects visible?,clevr-001577,clevr,
rubber,CLEVR_train_033166.png,What is the material of the block that is the same size as the red shiny thing?,clevr-033166,clevr,
metal,CLEVR_train_048454.png,There is a tiny brown thing that is right of the big object on the right side of the tiny brown cylinder; what is its material?,clevr-048454,clevr,
yes,CLEVR_train_047719.png,There is a green cube; are there any balls on the left side of it?,clevr-047719,clevr,
1,CLEVR_train_019365.png,How many brown matte things are in front of the small red cylinder?,clevr-019365,clevr,
yes,CLEVR_train_016205.png,Do the block in front of the green cylinder and the tiny rubber object to the left of the metal ball have the same color?,clevr-016205,clevr,
no,CLEVR_train_065272.png,Is the color of the big ball the same as the tiny cube?,clevr-065272,clevr,
2,CLEVR_train_036630.png,How many gray metallic cylinders are there?,clevr-036630,clevr,
yes,CLEVR_train_026871.png,Do the gray matte thing behind the large blue object and the purple metallic thing have the same shape?,clevr-026871,clevr,
0,CLEVR_train_069526.png,There is a cylinder on the left side of the large blue object that is behind the blue rubber cylinder; how many tiny blue things are in front of it?,clevr-069526,clevr,
no,CLEVR_train_014233.png,Are there any cyan blocks to the right of the big cyan block?,clevr-014233,clevr,
large,CLEVR_train_046496.png,What size is the cyan matte object?,clevr-046496,clevr,
cube,CLEVR_train_003253.png,There is a large matte thing that is in front of the small sphere that is behind the tiny green matte sphere that is right of the blue shiny block; what is its shape?,clevr-003253,clevr,
sphere,CLEVR_train_053922.png,The red thing that is the same material as the large blue block is what shape?,clevr-053922,clevr,
cube,CLEVR_train_063323.png,What shape is the blue shiny object that is in front of the blue shiny block to the left of the big rubber cylinder?,clevr-063323,clevr,
no,CLEVR_train_030540.png,Are there any large brown matte cylinders?,clevr-030540,clevr,
0,CLEVR_train_059210.png,How many tiny objects are either green objects or matte cylinders?,clevr-059210,clevr,
no,CLEVR_train_034649.png,Are there any big purple matte things?,clevr-034649,clevr,
1,CLEVR_train_050783.png,What number of other objects are there of the same color as the big metal sphere?,clevr-050783,clevr,
sphere,CLEVR_train_033702.png,The small thing that is on the right side of the object that is in front of the matte thing that is to the left of the cyan thing is what shape?,clevr-033702,clevr,
brown,CLEVR_train_012223.png,There is a metal cylinder that is the same size as the blue shiny thing; what is its color?,clevr-012223,clevr,
yes,CLEVR_train_015856.png,Are there any big matte objects that have the same shape as the small red metallic thing?,clevr-015856,clevr,
rubber,CLEVR_train_066880.png,What material is the big brown cube?,clevr-066880,clevr,
no,CLEVR_train_015662.png,Is there a big yellow block that has the same material as the large green thing?,clevr-015662,clevr,
2,CLEVR_train_044819.png,How many other things are the same shape as the gray thing?,clevr-044819,clevr,
metal,CLEVR_train_015715.png,There is a block that is the same size as the metallic sphere; what is its material?,clevr-015715,clevr,
no,CLEVR_train_021909.png,Is the shape of the gray rubber thing the same as the cyan object?,clevr-021909,clevr,
yes,CLEVR_train_020642.png,There is a purple rubber block; is its size the same as the metallic object that is behind the green rubber thing?,clevr-020642,clevr,
yes,CLEVR_train_016197.png,Does the large cylinder have the same color as the rubber cube that is in front of the gray object?,clevr-016197,clevr,
large,CLEVR_train_048414.png,What is the size of the matte object that is to the left of the sphere that is on the right side of the green thing?,clevr-048414,clevr,
small,CLEVR_train_008309.png,How big is the metallic cube in front of the big ball left of the yellow ball?,clevr-008309,clevr,
yes,CLEVR_train_018128.png,Are there more small objects in front of the small gray cylinder than small metallic things that are right of the blue thing?,clevr-018128,clevr,
1,CLEVR_train_004831.png,What number of large matte objects are the same color as the rubber cylinder?,clevr-004831,clevr,
metal,CLEVR_train_019294.png,What material is the object that is the same color as the small metal ball?,clevr-019294,clevr,
cyan,CLEVR_train_024917.png,What is the color of the block that is made of the same material as the red ball?,clevr-024917,clevr,
1,CLEVR_train_039799.png,What number of big objects are to the right of the tiny cyan metallic sphere and on the left side of the large red shiny cylinder?,clevr-039799,clevr,
1,CLEVR_train_007878.png,What number of green shiny objects are the same shape as the blue object?,clevr-007878,clevr,
blue,CLEVR_train_052341.png,What color is the matte ball that is the same size as the blue rubber cube?,clevr-052341,clevr,
rubber,CLEVR_train_032217.png,What material is the block that is in front of the green matte cube that is to the right of the tiny yellow shiny object made of?,clevr-032217,clevr,
yes,CLEVR_train_044409.png,There is a big thing that is on the left side of the large cylinder; is its color the same as the tiny thing in front of the yellow matte cylinder?,clevr-044409,clevr,
no,CLEVR_train_006865.png,Do the small object on the left side of the sphere and the metal thing that is in front of the tiny shiny cylinder have the same shape?,clevr-006865,clevr,
2,CLEVR_train_038705.png,What number of objects are large blue rubber spheres or red rubber things in front of the yellow rubber cube?,clevr-038705,clevr,
large,CLEVR_train_051529.png,What is the size of the blue cube that is the same material as the blue cylinder?,clevr-051529,clevr,
1,CLEVR_train_047945.png,What number of other tiny blue objects have the same shape as the blue matte thing?,clevr-047945,clevr,
large,CLEVR_train_042535.png,There is a block to the right of the big shiny thing in front of the large metallic object to the right of the small cyan shiny sphere; what is its size?,clevr-042535,clevr,
rubber,CLEVR_train_005315.png,There is a red object that is the same shape as the small gray object; what material is it?,clevr-005315,clevr,
large,CLEVR_train_066512.png,How big is the brown thing that is behind the brown metallic ball that is on the right side of the brown shiny block?,clevr-066512,clevr,
1,CLEVR_train_027302.png,How many things are either large metal objects that are to the left of the big cyan metal object or small green matte blocks?,clevr-027302,clevr,
