answer,image_path,question,source_image_id,sample_dataset,sample_question_id,T2_answer
no,CLEVR_train_022988.png,Is there a blue cylinder of the same size as the purple metal object?,clevr-022988,clevr,,yes
no,CLEVR_train_009697.png,Do the block that is in front of the big block and the matte block have the same color?,clevr-009697,clevr,,yes
cylinder,CLEVR_train_060972.png,There is a rubber object that is right of the rubber cylinder that is on the left side of the red object; what shape is it?,clevr-060972,clevr,,cube
yes,CLEVR_train_045876.png,Is there anything else that has the same color as the tiny ball?,clevr-045876,clevr,,
0,CLEVR_train_044176.png,How many other objects are the same color as the big metal cube?,clevr-044176,clevr,,0
rubber,CLEVR_train_018847.png,What is the material of the object on the right side of the small blue object?,clevr-018847,clevr,,rubber
yes,CLEVR_train_029439.png,Is there anything else that has the same material as the green thing?,clevr-029439,clevr,,yes
green,CLEVR_train_031545.png,What color is the cylinder in front of the small green matte cylinder?,clevr-031545,clevr,,green
yes,CLEVR_train_030944.png,Is the small cylinder behind the large gray metallic object made of the same material as the large object that is behind the tiny blue cylinder?,clevr-030944,clevr,,yes
cyan,CLEVR_train_057187.png,What is the color of the block that is the same material as the tiny yellow cylinder?,clevr-057187,clevr,,green
metal,CLEVR_train_007803.png,There is a yellow thing that is the same shape as the cyan thing; what is its material?,clevr-007803,clevr,,rubber
3,CLEVR_train_002630.png,How many purple objects are to the left of the big metallic object right of the gray sphere?,clevr-002630,clevr,,1
metal,CLEVR_train_005002.png,The ball that is on the right side of the big green metallic object and in front of the big yellow rubber object is made of what material?,clevr-005002,clevr,,metal
yes,CLEVR_train_000729.png,Is there anything else that is the same color as the big shiny thing?,clevr-000729,clevr,,
cylinder,CLEVR_train_035333.png,The green object that is the same size as the brown cylinder is what shape?,clevr-035333,clevr,,sphere
no,CLEVR_train_008227.png,Do the large metal object and the red matte object have the same shape?,clevr-008227,clevr,,yes
yes,CLEVR_train_019595.png,Does the big thing that is behind the small block have the same color as the metallic object that is in front of the blue metallic object?,clevr-019595,clevr,,yes
brown,CLEVR_train_033056.png,There is a large block that is made of the same material as the tiny purple thing; what color is it?,clevr-033056,clevr,,brown
rubber,CLEVR_train_005144.png,There is a cylinder that is both left of the large shiny cylinder and on the right side of the small metallic cylinder; what is its material?,clevr-005144,clevr,,metal
3,CLEVR_train_007046.png,There is a big matte object that is in front of the ball that is on the left side of the small rubber block; how many objects are behind it?,clevr-007046,clevr,,0
1,CLEVR_train_009364.png,How many large things are cyan objects or green shiny objects?,clevr-009364,clevr,,1
no,CLEVR_train_027953.png,Does the tiny cylinder behind the small red object have the same material as the big cube that is behind the blue matte cylinder?,clevr-027953,clevr,,yes
yes,CLEVR_train_043670.png,There is a brown cube; are there any big matte things to the left of it?,clevr-043670,clevr,,yes
1,CLEVR_train_046297.png,What number of tiny shiny balls are behind the tiny gray sphere and to the left of the tiny cyan shiny ball?,clevr-046297,clevr,,0
2,CLEVR_train_010132.png,What number of objects are either big metal things or small things that are in front of the big yellow matte object?,clevr-010132,clevr,,4
no,CLEVR_train_042124.png,Is the material of the small cube the same as the tiny ball?,clevr-042124,clevr,,yes
sphere,CLEVR_train_060443.png,There is a blue rubber object that is behind the tiny metallic ball that is right of the small blue matte object; what shape is it?,clevr-060443,clevr,,sphere
yes,CLEVR_train_043646.png,Is there any other thing that has the same shape as the small red object?,clevr-043646,clevr,,yes
large,CLEVR_train_035178.png,The brown metal block has what size?,clevr-035178,clevr,,1
blue,CLEVR_train_029787.png,What is the color of the cylinder that is behind the big object left of the tiny blue matte thing behind the purple object?,clevr-029787,clevr,,yellow
no,CLEVR_train_049432.png,Are there any blocks behind the yellow matte sphere?,clevr-049432,clevr,,yes
no,CLEVR_train_035787.png,Is the number of small purple things on the right side of the big cyan object greater than the number of large cyan things in front of the brown shiny block?,clevr-035787,clevr,,yes
no,CLEVR_train_064839.png,Are any tiny yellow matte spheres visible?,clevr-064839,clevr,,
small,CLEVR_train_062846.png,There is a gray metal object that is to the left of the ball in front of the object that is left of the big object; what size is it?,clevr-062846,clevr,,small
0,CLEVR_train_021573.png,What number of cylinders are large gray rubber things or small purple metallic objects?,clevr-021573,clevr,,0
5,CLEVR_train_030819.png,What number of things are either small shiny objects to the right of the yellow thing or tiny cylinders?,clevr-030819,clevr,,3
0,CLEVR_train_056961.png,What number of matte objects are large blue cylinders or small purple balls?,clevr-056961,clevr,,2
no,CLEVR_train_014732.png,Is there any other thing that has the same shape as the big blue object?,clevr-014732,clevr,,yes
4,CLEVR_train_063485.png,How many objects are either objects on the left side of the red ball or big objects?,clevr-063485,clevr,,3
no,CLEVR_train_034339.png,Is the number of metal spheres on the left side of the blue metal object less than the number of small blue things?,clevr-034339,clevr,,yes
sphere,CLEVR_train_047743.png,There is a red object that is the same size as the brown block; what is its shape?,clevr-047743,clevr,,cube
metal,CLEVR_train_044019.png,What material is the small object that is right of the small brown metal thing and to the left of the cyan thing?,clevr-044019,clevr,,metal
1,CLEVR_train_062692.png,How many tiny rubber objects are both behind the yellow object and in front of the brown object?,clevr-062692,clevr,,0
metal,CLEVR_train_035705.png,What material is the large gray thing?,clevr-035705,clevr,,metal
rubber,CLEVR_train_030443.png,There is a brown cube that is the same size as the brown metal ball; what is it made of?,clevr-030443,clevr,,metal
yes,CLEVR_train_055897.png,Is there anything else that has the same shape as the big red object?,clevr-055897,clevr,,yes
sphere,CLEVR_train_044197.png,What is the shape of the small rubber thing in front of the brown shiny cylinder?,clevr-044197,clevr,,cube
rubber,CLEVR_train_018956.png,What material is the yellow thing that is the same shape as the gray thing?,clevr-018956,clevr,,rubber
no,CLEVR_train_026426.png,There is a rubber block that is on the right side of the cyan rubber cube; is it the same color as the small shiny object on the left side of the yellow metallic sphere?,clevr-026426,clevr,,
yes,CLEVR_train_040569.png,Is the shape of the blue thing the same as the tiny matte thing left of the brown cylinder?,clevr-040569,clevr,,yes
1,CLEVR_train_023124.png,How many rubber objects are behind the yellow thing that is to the right of the yellow object to the left of the tiny gray block?,clevr-023124,clevr,,1
no,CLEVR_train_006112.png,There is a small matte ball; does it have the same color as the matte sphere behind the metallic object?,clevr-006112,clevr,,
yes,CLEVR_train_023027.png,There is a yellow thing; is its size the same as the blue shiny object to the right of the blue cylinder?,clevr-023027,clevr,,yes
small,CLEVR_train_061946.png,There is a cylinder behind the small gray rubber ball on the left side of the small object in front of the purple matte thing; what is its size?,clevr-061946,clevr,,large
brown,CLEVR_train_037503.png,What is the color of the small rubber ball that is behind the small rubber ball that is to the right of the tiny blue block?,clevr-037503,clevr,,green
rubber,CLEVR_train_058295.png,There is a red ball that is the same size as the shiny cylinder; what is it made of?,clevr-058295,clevr,,rubber
no,CLEVR_train_010102.png,Is there a small brown rubber cylinder?,clevr-010102,clevr,,yes
small,CLEVR_train_062364.png,What is the size of the cube that is in front of the small red shiny cylinder and behind the small blue rubber sphere?,clevr-062364,clevr,,large
small,CLEVR_train_017932.png,There is a metallic cylinder on the right side of the small gray metal thing; how big is it?,clevr-017932,clevr,,small
no,CLEVR_train_011128.png,Are there any green matte objects that have the same size as the metallic cylinder?,clevr-011128,clevr,,yes
2,CLEVR_train_045234.png,How many objects are either purple spheres or gray shiny balls?,clevr-045234,clevr,,2
yes,CLEVR_train_006305.png,There is a tiny object that is behind the small purple metal block; does it have the same shape as the big blue thing?,clevr-006305,clevr,,yes
yes,CLEVR_train_032677.png,Is the size of the blue object that is in front of the blue sphere the same as the big green metallic cylinder?,clevr-032677,clevr,,yes
1,CLEVR_train_043581.png,There is a green rubber object; how many large matte spheres are left of it?,clevr-043581,clevr,,0
0,CLEVR_train_003247.png,What number of large metal cylinders are the same color as the tiny metal block?,clevr-003247,clevr,,1
no,CLEVR_train_022421.png,There is a small metallic thing on the left side of the cyan rubber cylinder; does it have the same shape as the cyan thing?,clevr-022421,clevr,,yes
small,CLEVR_train_052972.png,There is a yellow object that is the same shape as the brown rubber object; what is its size?,clevr-052972,clevr,,small
1,CLEVR_train_007286.png,What number of other things are the same size as the blue thing?,clevr-007286,clevr,,2
no,CLEVR_train_048806.png,Are the small object that is to the right of the tiny green ball and the tiny ball on the right side of the small purple object made of the same material?,clevr-048806,clevr,,yes
sphere,CLEVR_train_055813.png,The metal object behind the cylinder has what shape?,clevr-055813,clevr,,sphere
small,CLEVR_train_046107.png,How big is the cube in front of the tiny yellow cylinder?,clevr-046107,clevr,,1
yes,CLEVR_train_060301.png,Is there anything else that is the same shape as the small green object?,clevr-060301,clevr,,yes
no,CLEVR_train_042856.png,Are there any cyan metal cubes?,clevr-042856,clevr,,
0,CLEVR_train_042123.png,There is a large object that is behind the yellow cylinder; how many blue things are to the left of it?,clevr-042123,clevr,,0
yes,CLEVR_train_008880.png,Is the number of small spheres greater than the number of cyan metallic balls?,clevr-008880,clevr,,yes
metal,CLEVR_train_048597.png,There is a ball that is the same color as the large block; what is it made of?,clevr-048597,clevr,,metal
no,CLEVR_train_042347.png,Are there any big cyan objects behind the big rubber sphere?,clevr-042347,clevr,,
yes,CLEVR_train_018128.png,Is there a tiny purple cylinder that has the same material as the small purple sphere?,clevr-018128,clevr,,yes
metal,CLEVR_train_002136.png,There is a green thing behind the tiny green shiny object; what material is it?,clevr-002136,clevr,,metal
cube,CLEVR_train_025928.png,There is a large rubber thing that is in front of the brown rubber thing; what is its shape?,clevr-025928,clevr,,cube
yes,CLEVR_train_023447.png,Is the color of the tiny block the same as the tiny sphere on the right side of the purple rubber block?,clevr-023447,clevr,,
2,CLEVR_train_036389.png,What number of objects have the same color as the tiny matte ball?,clevr-036389,clevr,,2
cylinder,CLEVR_train_016155.png,What shape is the shiny thing that is behind the small matte thing right of the big block?,clevr-016155,clevr,,sphere
2,CLEVR_train_048986.png,What number of other things are there of the same shape as the small blue rubber thing?,clevr-048986,clevr,,2
3,CLEVR_train_004580.png,What number of things are objects behind the red metallic thing or large balls in front of the large green sphere?,clevr-004580,clevr,,2
0,CLEVR_train_048158.png,There is a green rubber object; what number of big spheres are in front of it?,clevr-048158,clevr,,1
1,CLEVR_train_055142.png,How many spheres are either tiny rubber objects or tiny things?,clevr-055142,clevr,,2
no,CLEVR_train_007326.png,Are there more big shiny objects that are on the left side of the tiny green ball than objects?,clevr-007326,clevr,,yes
6,CLEVR_train_053909.png,What number of things are small metal objects or metal objects that are in front of the brown object?,clevr-053909,clevr,,3
1,CLEVR_train_029062.png,How many tiny things are green things or purple metal cylinders?,clevr-029062,clevr,,1
yes,CLEVR_train_000217.png,Is there anything else of the same color as the big cylinder?,clevr-000217,clevr,,
yes,CLEVR_train_060410.png,Are there any other things that are the same size as the blue rubber thing?,clevr-060410,clevr,,yes
yes,CLEVR_train_013046.png,Is the purple rubber block the same size as the gray cylinder?,clevr-013046,clevr,,yes
metal,CLEVR_train_059218.png,What is the material of the large block that is behind the large matte thing?,clevr-059218,clevr,,rubber
0,CLEVR_train_013546.png,How many tiny green objects are right of the sphere that is in front of the small green rubber object?,clevr-013546,clevr,,0
no,CLEVR_train_042112.png,Is the material of the small blue ball the same as the large ball?,clevr-042112,clevr,,yes
5,CLEVR_train_032921.png,What number of objects are small objects left of the big gray shiny sphere or large balls behind the large cube?,clevr-032921,clevr,,2
yes,CLEVR_train_060971.png,Are there any metallic objects that are to the right of the tiny metal object that is in front of the small gray cylinder?,clevr-060971,clevr,,yes
yes,CLEVR_train_026587.png,There is a metallic thing right of the big yellow rubber block; is it the same shape as the yellow object?,clevr-026587,clevr,,yes
metal,CLEVR_train_019607.png,What is the small blue thing that is in front of the tiny purple object that is on the right side of the big brown sphere made of?,clevr-019607,clevr,,metal
no,CLEVR_train_035181.png,There is a blue object; are there any large rubber things in front of it?,clevr-035181,clevr,,yes
cube,CLEVR_train_010098.png,What is the shape of the tiny object to the left of the tiny red shiny block?,clevr-010098,clevr,,cube
yes,CLEVR_train_046385.png,There is a thing to the right of the large blue cylinder; does it have the same shape as the small rubber object that is behind the small cyan metallic cylinder?,clevr-046385,clevr,,yes
1,CLEVR_train_012034.png,There is a large brown cylinder; how many small blue things are behind it?,clevr-012034,clevr,,0
no,CLEVR_train_029846.png,There is a large metal cylinder; is its color the same as the large object behind the brown metal object?,clevr-029846,clevr,,yes
0,CLEVR_train_011776.png,What number of big red rubber things are there?,clevr-011776,clevr,,1
large,CLEVR_train_007181.png,There is a thing on the left side of the sphere that is on the left side of the blue object; what is its size?,clevr-007181,clevr,,small
rubber,CLEVR_train_056518.png,There is a tiny cylinder that is the same color as the small matte block; what is its material?,clevr-056518,clevr,,rubber
no,CLEVR_train_036707.png,Is there anything else of the same color as the metallic cube?,clevr-036707,clevr,,yes
yes,CLEVR_train_013992.png,Are there any purple objects that have the same size as the gray metal thing?,clevr-013992,clevr,,yes
cube,CLEVR_train_007041.png,There is a blue object that is the same size as the purple metallic object; what shape is it?,clevr-007041,clevr,,cube
0,CLEVR_train_006490.png,How many small purple cubes are behind the gray object in front of the object that is behind the matte cylinder?,clevr-006490,clevr,,0
no,CLEVR_train_055517.png,Are there fewer small yellow rubber things that are right of the gray metal block than cubes to the left of the brown matte ball?,clevr-055517,clevr,,yes
0,CLEVR_train_023341.png,What number of small things are either shiny objects or brown balls?,clevr-023341,clevr,,2
no,CLEVR_train_014673.png,Are there any other things that have the same size as the red matte thing?,clevr-014673,clevr,,yes
sphere,CLEVR_train_024375.png,What is the shape of the red object?,clevr-024375,clevr,,cube
0,CLEVR_train_069151.png,How many blue rubber things are both in front of the blue rubber cylinder and to the left of the gray metallic object?,clevr-069151,clevr,,0
rubber,CLEVR_train_044852.png,What material is the sphere that is the same color as the big metal cylinder?,clevr-044852,clevr,,rubber
2,CLEVR_train_064552.png,How many objects are the same material as the big red block?,clevr-064552,clevr,,2
no,CLEVR_train_025511.png,Does the large ball in front of the small blue cylinder have the same material as the cylinder?,clevr-025511,clevr,,yes
yes,CLEVR_train_053268.png,Is the number of large green metallic things that are in front of the red cylinder the same as the number of small red cylinders that are right of the large matte sphere?,clevr-053268,clevr,,yes
green,CLEVR_train_050184.png,The metallic object that is right of the small cyan metallic object and left of the big metal sphere is what color?,clevr-050184,clevr,,green
yes,CLEVR_train_032893.png,Does the sphere that is behind the blue matte ball have the same material as the tiny cyan ball?,clevr-032893,clevr,,yes
2,CLEVR_train_066437.png,How many other things are there of the same material as the yellow object?,clevr-066437,clevr,,2
small,CLEVR_train_040913.png,What is the size of the red block?,clevr-040913,clevr,,large
gray,CLEVR_train_031305.png,What is the color of the large thing that is behind the tiny green matte object and to the right of the small yellow cylinder?,clevr-031305,clevr,,blue
no,CLEVR_train_022617.png,Does the large ball have the same color as the block in front of the green metal cylinder?,clevr-022617,clevr,,
yes,CLEVR_train_056165.png,Is there anything else that is the same shape as the small cyan metal thing?,clevr-056165,clevr,,yes
yes,CLEVR_train_058877.png,Are any cyan metallic cubes visible?,clevr-058877,clevr,,yes
no,CLEVR_train_012685.png,Are there any big balls that have the same color as the big metal cylinder?,clevr-012685,clevr,,yes
blue,CLEVR_train_007307.png,The big cube that is the same material as the big purple thing is what color?,clevr-007307,clevr,,blue
0,CLEVR_train_021862.png,How many tiny objects are in front of the purple ball and behind the purple matte sphere?,clevr-021862,clevr,,0
no,CLEVR_train_031847.png,Are there any metallic things in front of the small brown ball?,clevr-031847,clevr,,yes
no,CLEVR_train_068019.png,Is the color of the large cylinder the same as the cube?,clevr-068019,clevr,,
gray,CLEVR_train_000060.png,There is a large object that is in front of the big blue matte block and to the left of the small yellow block; what color is it?,clevr-000060,clevr,,yellow
sphere,CLEVR_train_012405.png,What is the shape of the yellow matte object that is the same size as the gray metal ball?,clevr-012405,clevr,,cube
0,CLEVR_train_064806.png,How many cyan objects are either shiny balls or small shiny cylinders?,clevr-064806,clevr,,0
large,CLEVR_train_031787.png,There is a thing that is both on the left side of the purple metallic object and in front of the metal cylinder; how big is it?,clevr-031787,clevr,,small
yes,CLEVR_train_025563.png,Are there more cylinders behind the tiny matte object than brown things?,clevr-025563,clevr,,yes
cylinder,CLEVR_train_008330.png,The purple object that is the same size as the green matte ball is what shape?,clevr-008330,clevr,,cube
no,CLEVR_train_056578.png,Is the number of objects on the right side of the brown cylinder less than the number of tiny brown rubber cylinders?,clevr-056578,clevr,,yes
cube,CLEVR_train_018505.png,There is a cyan object that is behind the rubber block on the right side of the small matte thing in front of the tiny brown cube; what is its shape?,clevr-018505,clevr,,cube
small,CLEVR_train_034733.png,There is a thing that is on the right side of the gray metal thing and behind the small cyan cylinder; how big is it?,clevr-034733,clevr,,small
0,CLEVR_train_036932.png,What number of purple things are either tiny shiny objects or small matte balls?,clevr-036932,clevr,,1
no,CLEVR_train_000784.png,Are any big gray cylinders visible?,clevr-000784,clevr,,yes
red,CLEVR_train_056098.png,There is another tiny object that is the same shape as the tiny green metal thing; what color is it?,clevr-056098,clevr,,red
gray,CLEVR_train_017813.png,There is another thing that is the same shape as the large gray object; what color is it?,clevr-017813,clevr,,green
red,CLEVR_train_014837.png,What is the color of the other shiny thing that is the same shape as the large purple metallic thing?,clevr-014837,clevr,,brown
2,CLEVR_train_048586.png,What number of green things are big matte objects or tiny rubber cubes?,clevr-048586,clevr,,1
0,CLEVR_train_023418.png,What number of tiny cubes are both behind the yellow object and on the right side of the green block?,clevr-023418,clevr,,0
1,CLEVR_train_024440.png,What number of other objects are the same shape as the blue thing?,clevr-024440,clevr,,0
7,CLEVR_train_065921.png,There is a small blue metal cylinder; how many shiny things are in front of it?,clevr-065921,clevr,,2
sphere,CLEVR_train_028697.png,There is a small thing that is the same color as the small metallic cube; what shape is it?,clevr-028697,clevr,,sphere
sphere,CLEVR_train_064751.png,What shape is the small red object?,clevr-064751,clevr,,cube
yes,CLEVR_train_004248.png,Is there any other thing that has the same shape as the cyan metallic thing?,clevr-004248,clevr,,yes
sphere,CLEVR_train_009308.png,What shape is the metallic object that is the same size as the red sphere?,clevr-009308,clevr,,sphere
metal,CLEVR_train_051915.png,What material is the tiny ball that is to the left of the sphere that is right of the yellow thing made of?,clevr-051915,clevr,,bronze
1,CLEVR_train_015031.png,What number of tiny objects are either matte cylinders or green rubber balls?,clevr-015031,clevr,,2
0,CLEVR_train_022114.png,What number of other small metal cylinders are the same color as the tiny metal cylinder?,clevr-022114,clevr,,0
green,CLEVR_train_037365.png,The big cube behind the cyan shiny sphere is what color?,clevr-037365,clevr,,green
yes,CLEVR_train_002884.png,Are there any cylinders that have the same color as the rubber thing?,clevr-002884,clevr,,yes
yes,CLEVR_train_068505.png,Are there any yellow things that have the same material as the blue object?,clevr-068505,clevr,,yes
1,CLEVR_train_049335.png,How many green cylinders have the same material as the red block?,clevr-049335,clevr,,0
small,CLEVR_train_053894.png,There is a metal object that is behind the cyan metal block and in front of the metal cylinder; how big is it?,clevr-053894,clevr,,small
2,CLEVR_train_036098.png,What number of other things are the same shape as the tiny red object?,clevr-036098,clevr,,1
yes,CLEVR_train_000635.png,There is a rubber thing behind the yellow rubber thing; is its shape the same as the small red object to the right of the metal ball?,clevr-000635,clevr,,yes
0,CLEVR_train_043459.png,What number of tiny yellow metallic cubes are there?,clevr-043459,clevr,,1
no,CLEVR_train_016958.png,Is the number of tiny cylinders in front of the brown cylinder the same as the number of gray matte cubes to the left of the yellow thing?,clevr-016958,clevr,,yes
blue,CLEVR_train_002432.png,There is a shiny sphere that is the same size as the blue block; what color is it?,clevr-002432,clevr,,purple
no,CLEVR_train_007830.png,Is the number of gray things behind the tiny green metal block less than the number of gray metal objects that are behind the cyan matte thing?,clevr-007830,clevr,,yes
1,CLEVR_train_066026.png,How many green objects are large cubes or tiny metallic blocks?,clevr-066026,clevr,,1
rubber,CLEVR_train_055901.png,There is a ball that is the same size as the purple metal block; what material is it?,clevr-055901,clevr,,rubber
cylinder,CLEVR_train_062724.png,There is a big red object that is on the right side of the large metal thing that is behind the large metal cylinder behind the brown metallic cylinder; what shape is it?,clevr-062724,clevr,,cube
no,CLEVR_train_043731.png,Is there anything else that is the same shape as the big green rubber object?,clevr-043731,clevr,,
no,CLEVR_train_043888.png,Is there a large gray block made of the same material as the purple object?,clevr-043888,clevr,,yes
cyan,CLEVR_train_017869.png,The object that is made of the same material as the tiny green sphere is what color?,clevr-017869,clevr,,red
2,CLEVR_train_055080.png,What number of other objects are there of the same shape as the blue rubber thing?,clevr-055080,clevr,,2
cylinder,CLEVR_train_005376.png,What shape is the object left of the block in front of the large yellow metal object?,clevr-005376,clevr,,cube
yes,CLEVR_train_027126.png,Does the small red rubber thing have the same shape as the tiny cyan shiny thing?,clevr-027126,clevr,,yes
yes,CLEVR_train_031998.png,Are there fewer large brown shiny cylinders left of the metal block than cyan rubber blocks?,clevr-031998,clevr,,yes
1,CLEVR_train_013691.png,What number of small things are either metallic objects or brown objects?,clevr-013691,clevr,,2
no,CLEVR_train_061847.png,Is there another large shiny ball of the same color as the big sphere?,clevr-061847,clevr,,
cyan,CLEVR_train_026180.png,The large metallic thing that is left of the big red metallic object in front of the cyan shiny cylinder is what color?,clevr-026180,clevr,,yellow
no,CLEVR_train_049754.png,Do the tiny cube and the large sphere that is in front of the small matte object have the same color?,clevr-049754,clevr,,yes
blue,CLEVR_train_024946.png,There is a big cube that is made of the same material as the small cube; what is its color?,clevr-024946,clevr,,green
no,CLEVR_train_046692.png,Is the size of the shiny object in front of the green rubber object the same as the purple rubber object that is behind the brown ball?,clevr-046692,clevr,,yes
no,CLEVR_train_006606.png,Is there anything else that is the same size as the blue shiny cube?,clevr-006606,clevr,,yes
metal,CLEVR_train_022565.png,What is the material of the blue cylinder that is the same size as the blue ball?,clevr-022565,clevr,,metal
metal,CLEVR_train_045953.png,There is a gray object that is the same shape as the brown metal object; what is its material?,clevr-045953,clevr,,metal
yes,CLEVR_train_035466.png,Is there another block of the same color as the matte cube?,clevr-035466,clevr,,yes
no,CLEVR_train_065030.png,Are there fewer yellow cylinders that are behind the tiny green metal ball than big green balls?,clevr-065030,clevr,,yes
no,CLEVR_train_062040.png,Is there a large red cylinder made of the same material as the large blue block?,clevr-062040,clevr,,
0,CLEVR_train_041532.png,How many blue blocks are the same size as the cyan ball?,clevr-041532,clevr,,0
purple,CLEVR_train_030112.png,There is a object that is both in front of the yellow rubber object and right of the large red thing; what color is it?,clevr-030112,clevr,,purple
small,CLEVR_train_011979.png,What size is the thing that is both left of the small brown object and in front of the yellow cylinder?,clevr-011979,clevr,,small
rubber,CLEVR_train_045155.png,There is a small ball to the right of the large gray metallic block; what is its material?,clevr-045155,clevr,,rubber
2,CLEVR_train_037659.png,What number of objects are either cyan matte objects or tiny matte objects behind the rubber cylinder?,clevr-037659,clevr,,2
yes,CLEVR_train_059789.png,Does the small rubber ball have the same color as the large cube left of the yellow rubber object?,clevr-059789,clevr,,
1,CLEVR_train_064326.png,How many things are purple objects or small metal cylinders on the right side of the cyan matte cube?,clevr-064326,clevr,,2
yes,CLEVR_train_027423.png,There is a gray object that is behind the large metal cylinder; is its shape the same as the green matte object?,clevr-027423,clevr,,yes
no,CLEVR_train_065634.png,Does the tiny block have the same color as the cylinder that is in front of the tiny yellow cube?,clevr-065634,clevr,,yes
0,CLEVR_train_022169.png,How many small things are behind the tiny rubber object and to the left of the big red block?,clevr-022169,clevr,,1
no,CLEVR_train_068105.png,Is there any other thing that has the same size as the cyan ball?,clevr-068105,clevr,,yes
metal,CLEVR_train_017235.png,What is the material of the small gray object?,clevr-017235,clevr,,metal
large,CLEVR_train_069271.png,What size is the rubber thing right of the small yellow matte block?,clevr-069271,clevr,,large
0,CLEVR_train_021647.png,There is a big matte cylinder that is on the left side of the thing that is behind the cyan cube; how many gray balls are in front of it?,clevr-021647,clevr,,0
yellow,CLEVR_train_026857.png,There is a large rubber object left of the big green cylinder; what color is it?,clevr-026857,clevr,,yellow
cyan,CLEVR_train_057818.png,What is the color of the large rubber thing that is behind the tiny brown ball and to the left of the large brown object?,clevr-057818,clevr,,green
no,CLEVR_train_011506.png,Are there more brown metallic objects than big cubes?,clevr-011506,clevr,,yes
1,CLEVR_train_040313.png,How many cylinders are big red things or large purple rubber objects?,clevr-040313,clevr,,2
cylinder,CLEVR_train_036520.png,What is the shape of the purple object that is the same material as the big purple cylinder?,clevr-036520,clevr,,cube
0,CLEVR_train_019295.png,There is a cyan matte thing that is to the right of the red thing on the left side of the large red cylinder; how many large metal objects are on the right side of it?,clevr-019295,clevr,,0
0,CLEVR_train_061421.png,What number of other things are the same shape as the gray matte thing?,clevr-061421,clevr,,2
large,CLEVR_train_007422.png,What is the size of the yellow metal object in front of the cyan matte cube?,clevr-007422,clevr,,small
blue,CLEVR_train_063379.png,What is the color of the shiny sphere that is the same size as the purple rubber block?,clevr-063379,clevr,,green
yellow,CLEVR_train_062852.png,What is the color of the matte cylinder to the right of the large purple metal object that is on the right side of the big cyan thing?,clevr-062852,clevr,,brown
yes,CLEVR_train_007388.png,Are the big purple ball on the right side of the yellow cube and the yellow object that is on the right side of the tiny matte thing made of the same material?,clevr-007388,clevr,,yes
no,CLEVR_train_056129.png,Do the big object that is behind the small red rubber ball and the large cube have the same color?,clevr-056129,clevr,,yes
gray,CLEVR_train_052256.png,There is a large metal cylinder that is behind the big metal thing on the right side of the shiny cylinder that is left of the tiny cyan block; what is its color?,clevr-052256,clevr,,gray
no,CLEVR_train_011202.png,Is the size of the block on the left side of the large rubber block the same as the block that is to the right of the big blue shiny cube?,clevr-011202,clevr,,yes
yes,CLEVR_train_066894.png,Is the material of the large thing to the left of the large metallic thing the same as the small brown object?,clevr-066894,clevr,,yes
small,CLEVR_train_067181.png,What is the size of the other gray thing that is the same material as the big object?,clevr-067181,clevr,,small
yes,CLEVR_train_041727.png,There is a tiny metallic object that is behind the small rubber thing; is there a gray metal thing that is to the left of it?,clevr-041727,clevr,,yes
rubber,CLEVR_train_065814.png,What is the material of the large red object that is on the right side of the big red cube behind the object in front of the purple matte block?,clevr-065814,clevr,,rubber
rubber,CLEVR_train_068007.png,What material is the small green thing that is to the left of the tiny green object that is right of the tiny green rubber object?,clevr-068007,clevr,,rubber
1,CLEVR_train_027319.png,How many objects are small gray rubber cylinders that are behind the large cyan metal object or small cylinders that are in front of the green cylinder?,clevr-027319,clevr,,2
metal,CLEVR_train_004085.png,There is a purple thing that is right of the purple object that is left of the tiny purple metallic sphere; what is it made of?,clevr-004085,clevr,,metal
1,CLEVR_train_051964.png,How many other objects are there of the same shape as the small brown matte object?,clevr-051964,clevr,,2
yes,CLEVR_train_024660.png,Is the number of big things that are behind the tiny yellow ball the same as the number of big shiny things that are to the right of the large metal cylinder?,clevr-024660,clevr,,yes
no,CLEVR_train_062866.png,Does the large thing right of the big matte cube have the same shape as the blue object that is right of the blue cylinder?,clevr-062866,clevr,,yes
no,CLEVR_train_027720.png,Do the shiny thing that is right of the tiny cylinder and the big metal thing behind the tiny metal cylinder have the same color?,clevr-027720,clevr,,yes
rubber,CLEVR_train_042315.png,What material is the big object that is both left of the large ball and behind the blue matte thing?,clevr-042315,clevr,,rubber
no,CLEVR_train_026252.png,Are there an equal number of metal things that are in front of the small cyan ball and small matte things in front of the tiny cylinder?,clevr-026252,clevr,,yes
1,CLEVR_train_064872.png,How many large objects are in front of the red metal object and on the right side of the large gray metallic thing?,clevr-064872,clevr,,2
yes,CLEVR_train_020031.png,Are there any other things that have the same material as the blue object?,clevr-020031,clevr,,yes
no,CLEVR_train_019774.png,Is the gray cylinder the same size as the blue object?,clevr-019774,clevr,,yes
yes,CLEVR_train_032617.png,Is the yellow block that is in front of the blue cylinder made of the same material as the cyan cube?,clevr-032617,clevr,,yes
yes,CLEVR_train_013554.png,Is there any other thing that has the same shape as the tiny purple rubber thing?,clevr-013554,clevr,,yes
yes,CLEVR_train_050040.png,Is the size of the brown thing behind the tiny metal block the same as the brown object on the left side of the small brown cylinder?,clevr-050040,clevr,,yes
